"Go to Home Page","Go to Home Page",theme,frontend/Hyva/default
"Gallery modal fullscreen","Gallery modal fullscreen",theme,frontend/Hyva/default
"Main image","Main image",theme,frontend/Hyva/default
"Click to view image in fullscreen","Click to view image in fullscreen",theme,frontend/Hyva/default
Previous,Previous,theme,frontend/Hyva/default
"%1 thumbnail","%1 thumbnail",theme,frontend/Hyva/default
Next,Next,theme,frontend/Hyva/default
"Close fullscreen","Close fullscreen",theme,frontend/Hyva/default
"Customizable Options","Customizable Options",theme,frontend/Hyva/default
Change,Change,theme,frontend/Hyva/default
"Please select a file.","Please select a file.",theme,frontend/Hyva/default
"Compatible file extensions to upload","Compatible file extensions to upload",theme,frontend/Hyva/default
"Maximum image width","Maximum image width",theme,frontend/Hyva/default
px.,px.,theme,frontend/Hyva/default
"Maximum image height","Maximum image height",theme,frontend/Hyva/default
"Maximum %1 characters","Maximum %1 characters",theme,frontend/Hyva/default
"As low as","As low as",theme,frontend/Hyva/default
Description,Description,theme,frontend/Hyva/default
Availability,Availability,theme,frontend/Hyva/default
"In stock","In stock",theme,frontend/Hyva/default
"Out of stock","Out of stock",theme,frontend/Hyva/default
"Recently Viewed Products","Recently Viewed Products",theme,frontend/Hyva/default
"View Product","View Product",theme,frontend/Hyva/default
"Please enter a valid price range.","Please enter a valid price range.",theme,frontend/Hyva/default
"Please enter a valid number range.","Please enter a valid number range.",theme,frontend/Hyva/default
"Please enter a valid date range.","Please enter a valid date range.",theme,frontend/Hyva/default
"Please enter a valid range.","Please enter a valid range.",theme,frontend/Hyva/default
From,From,theme,frontend/Hyva/default
To,To,theme,frontend/Hyva/default
All,All,theme,frontend/Hyva/default
Yes,Yes,theme,frontend/Hyva/default
No,No,theme,frontend/Hyva/default
"Search Settings","Search Settings",theme,frontend/Hyva/default
Search,Search,theme,frontend/Hyva/default
"<strong>%1 item</strong> was found using the following search criteria","<strong>%1 item</strong> was found using the following search criteria",theme,frontend/Hyva/default
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 items</strong> were found using the following search criteria",theme,frontend/Hyva/default
"We can't find any items matching these search criteria.","We can't find any items matching these search criteria.",theme,frontend/Hyva/default
"Modify your search.","Modify your search.",theme,frontend/Hyva/default
name,name,theme,frontend/Hyva/default
"Don't see what you're looking for?","Don't see what you're looking for?",theme,frontend/Hyva/default
"Print receipt","Print receipt",theme,frontend/Hyva/default
"Something went wrong. Please try again.","Something went wrong. Please try again.",theme,frontend/Hyva/default
"Apply Discount Code","Apply Discount Code",theme,frontend/Hyva/default
"Enter discount code","Enter discount code",theme,frontend/Hyva/default
"Apply Discount","Apply Discount",theme,frontend/Hyva/default
